n01440764 tinca
n01443537 auratus
n01484850 carcharias
n01491361 cuvieri
n01494475 shark
n01496331 torpedo
n01498041 stingray
n01514668 cock
n01514859 hen
n01518878 camelus
n01530575 montifringilla
n01531178 carduelis
n01532829 mexicanus
n01534433 snowbird
n01537544 cyanea
n01558993 migratorius
n01560419 bulbul
n01580077 jay
n01582220 magpie
n01592084 chickadee
n01601694 dipper
n01608432 kite
n01614925 leucocephalus
n01616318 vulture
n01622779 nebulosa
n01629819 salamandra
n01630670 vulgaris
n01631663 eft
n01632458 maculatum
n01632777 mexicanum
n01641577 catesbeiana
n01644373 tree-frog
n01644900 trui
n01664065 caretta
n01665541 coriacea
n01667114 turtle
n01667778 terrapin
n01669191 tortoise
n01675722 gecko
n01677366 iguana
n01682714 carolinensis
n01685808 lizard
n01687978 agama
n01688243 kingi
n01689811 lizard
n01692333 suspectum
n01693334 viridis
n01694178 chamaeleon
n01695060 komodoensis
n01697457 niloticus
n01698640 mississipiensis
n01704323 triceratops
n01728572 amoenus
n01728920 snake
n01729322 viper
n01729977 snake
n01734418 kingsnake
n01735189 snake
n01737021 snake
n01739381 snake
n01740131 torquata
n01742172 constrictor
n01744401 sebae
n01748264 naja
n01749939 mamba
n01751748 snake
n01753488 cornutus
n01755581 adamanteus
n01756291 cerastes
n01768244 trilobite
n01770081 opilio
n01770393 scorpion
n01773157 aurantia
n01773549 cavaticus
n01773797 diademata
n01774384 mactans
n01774750 tarantula
n01775062 spider
n01776313 tick
n01784675 centipede
n01795545 grouse
n01796340 ptarmigan
n01797886 umbellus
n01798484 fowl
n01806143 peacock
n01806567 quail
n01807496 partridge
n01817953 erithacus
n01818515 macaw
n01819313 galerita
n01820546 lorikeet
n01824575 coucal
n01828970 eater
n01829413 hornbill
n01833805 hummingbird
n01843065 jacamar
n01843383 toucan
n01847000 drake
n01855032 serrator
n01855672 goose
n01860187 atratus
n01871265 tusker
n01872401 anteater
n01873310 anatinus
n01877812 kangaroo
n01882714 cinereus
n01883070 wombat
n01910747 jellyfish
n01914609 anemone
n01917289 coral
n01924916 platyhelminth
n01930112 roundworm
n01943899 conch
n01944390 snail
n01945685 slug
n01950731 nudibranch
n01955084 polyplacophore
n01968897 nautilus
n01978287 magister
n01978455 irroratus
n01980166 crab
n01981276 camtschatica
n01983481 americanus
n01984695 crawfish
n01985128 crawdaddy
n01986214 crab
n01990800 isopod
n02002556 ciconia
n02002724 nigra
n02006656 spoonbill
n02007558 flamingo
n02009229 caerulea
n02009912 albus
n02011460 bittern
n02012849 crane
n02013706 pictus
n02017213 porphyrio
n02018207 americana
n02018795 bustard
n02025239 interpres
n02027492 alpina
n02028035 totanus
n02033041 dowitcher
n02037110 catcher
n02051845 pelican
n02056570 patagonica
n02058221 mollymawk
n02066245 robustus
n02071294 orca
n02074367 dugon
n02077923 lion
n02085620 Chihuahua
n02085782 spaniel
n02085936 Maltese
n02086079 Peke
n02086240 Shih-Tzu
n02086646 spaniel
n02086910 papillon
n02087046 terrier
n02087394 ridgeback
n02088094 Afghan
n02088238 hound
n02088364 beagle
n02088466 sleuthhound
n02088632 bluetick
n02089078 coonhound
n02089867 foxhound
n02089973 foxhound
n02090379 redbone
n02090622 wolfhound
n02090721 wolfhound
n02091032 greyhound
n02091134 whippet
n02091244 Podenco
n02091467 elkhound
n02091635 hound
n02091831 hound
n02092002 deerhound
n02092339 Weimaraner
n02093256 terrier
n02093428 terrier
n02093647 terrier
n02093754 terrier
n02093859 terrier
n02093991 terrier
n02094114 terrier
n02094258 terrier
n02094433 terrier
n02095314 terrier
n02095570 terrier
n02095889 Sealyham
n02096051 terrier
n02096177 terrier
