n01532829 mexicanus
n01558993 migratorius
n01704323 triceratops
n01749939 mamba
n01770081 opilio
n01843383 toucan
n01855672 goose
n01910747 jellyfish
n01930112 roundworm
n01981276 camtschatica
n02074367 dugon
n02089867 foxhound
n02091244 Podenco
n02091831 hound
n02099601 retriever
n02101006 setter
n02105505 komondor
n02108089 boxer
n02108551 mastiff
n02108915 bulldog
n02110063 malamute
n02110341 dog
n02111277 dog
n02113712 poodle
n02114548 tundrarum
n02116738 pictus
n02120079 lagopus
n02129165 leo
n02138441 mierkat
n02165456 beetle
n02174001 beetle
n02219486 pismire
n02443484 nigripes
n02457408 tridactylus
n02606052 tricolor
n02687172 carrier
n02747177 bin
n02795169 cask
n02823428 bottle
n02871525 bookstall
n02950826 cannon
n02966193 whirligig
n02971356 carton
n02981792 catamaran
n03017168 gong
n03047690 sabot
n03062245 shaker
n03075370 lock
n03127925 crate
n03146219 cuirass
n03207743 dishcloth
n03220513 dome
n03272010 guitar
n03337140 cabinet
n03347037 fireguard
n03400231 skillet
n03417042 dustcart
n03476684 slide
n03527444 holster
n03535780 bar
n03544143 hourglass
n03584254 iPod
n03676483 rouge
n03770439 mini
n03773504 missile
n03775546 bowl
n03838899 hautbois
n03854065 organ
n03888605 bars
n03908618 case
n03924679 photocopier
n03980874 poncho
n03998194 mat
n04067472 reel
n04146614 bus
n04149813 scoreboard
n04243546 bandit
n04251144 snorkel
n04258138 furnace
n04275548 web
n04296562 stage
n04389033 vehicle
n04418357 curtain
n04435653 roof
n04443257 tobacconist
n04509417 monocycle
n04515003 piano
n04522168 vase
n04596742 wok
n04604644 fence
n04612504 yawl
n06794110 sign
n07584110 consomme
n07613480 trifle
n07697537 hot
n07747607 orange
n09246464 drop-off
n09256479 reef
n13054560 bolete
n13133613 capitulum
