n07697537 hot
n02108551 mastiff
n02747177 bin
n09246464 drop-off
n13133613 capitulum
n02074367 dugon
n03854065 organ
n02108915 bulldog
n07747607 orange
n04515003 piano
n01770081 opilio
n02101006 setter
n04243546 bandit
n03888605 bars
n13054560 bolete
n03527444 holster
n03017168 gong
n01558993 migratorius
n03924679 photocopier
n04509417 monocycle
n07584110 consomme
n04275548 web
n03998194 mat
n03220513 dome
n02795169 cask
n01704323 triceratops
n04443257 tobacconist
n02089867 foxhound
n02111277 dog
n01749939 mamba
n02165456 beetle
n03476684 slide
n04258138 furnace
n01843383 toucan
n04604644 fence
n03337140 cabinet
n02108089 boxer
n04596742 wok
n03062245 shaker
n02606052 tricolor
n03838899 hautbois
n01910747 jellyfish
n01532829 mexicanus
n04612504 yawl
n02120079 lagopus
n03347037 fireguard
n03908618 case
n04296562 stage
n02457408 tridactylus
n03207743 dishcloth
n02823428 bottle
n04389033 vehicle
n02113712 poodle
n06794110 sign
n03400231 skillet
n04067472 reel
n02091831 hound
n02105505 komondor
n03047690 sabot
n02687172 carrier
n04435653 roof
n03676483 rouge
n04251144 snorkel
n02966193 whirligig
